employee_id,employee_name,role_id,role_title,overall_score,band,skills_score,responsibilities_score,ambitions_score,dedication_score
1001,Jordi Casals,R-STR-LEAD,Head of Strategy,0.6739,READY_WITH_SUPPORT,0.9545,0.6667,0.2,0.0
1001,Jordi Casals,R-PM,Project Manager,0.4706,NEAR,0.9412,0.0,0.0,0.0
1001,Jordi Casals,R-MTX-ARCH,Martech Architect,0.1985,NOT_VIABLE,0.337,0.0,0.2,0.0
1001,Jordi Casals,R-CRM-ADMIN,CRM Admin (HubSpot),0.1875,NOT_VIABLE,0.375,0.0,0.0,0.0
1001,Jordi Casals,R-DATA-ANL,Data Analyst,0.1806,NOT_VIABLE,0.3611,0.0,0.0,0.0
1001,Jordi Casals,R-CRT-LEAD,Creative Director,0.2787,FAR,0.4375,0.0,0.4,0.0
1001,Jordi Casals,R-DSN-SR,Senior Brand/UI Designer,0.125,NOT_VIABLE,0.25,0.0,0.0,0.0
1001,Jordi Casals,R-PERF-SPEC,Performance Media Specialist,0.1875,NOT_VIABLE,0.375,0.0,0.0,0.0
1001,Jordi Casals,R-SEO-SEM,SEO/SEM Manager,0.2083,FAR,0.4167,0.0,0.0,0.0
1001,Jordi Casals,R-SMM,Social Media Strategist,0.2083,FAR,0.4167,0.0,0.0,0.0
1002,Marta Soler,R-STR-LEAD,Head of Strategy,0.3239,FAR,0.6477,0.0,0.0,0.0
1002,Marta Soler,R-PM,Project Manager,0.4338,NEAR,0.6176,0.5,0.0,0.0
1002,Marta Soler,R-MTX-ARCH,Martech Architect,0.1467,NOT_VIABLE,0.2935,0.0,0.0,0.0
1002,Marta Soler,R-CRM-ADMIN,CRM Admin (HubSpot),0.1562,NOT_VIABLE,0.3125,0.0,0.0,0.0
1002,Marta Soler,R-DATA-ANL,Data Analyst,0.1528,NOT_VIABLE,0.3056,0.0,0.0,0.0
1002,Marta Soler,R-CRT-LEAD,Creative Director,0.1875,NOT_VIABLE,0.375,0.0,0.0,0.0
1002,Marta Soler,R-DSN-SR,Senior Brand/UI Designer,0.205,FAR,0.25,0.0,0.5333,0.0
1002,Marta Soler,R-PERF-SPEC,Performance Media Specialist,0.1862,NOT_VIABLE,0.3125,0.0,0.2,0.0
1002,Marta Soler,R-SEO-SEM,SEO/SEM Manager,0.1967,NOT_VIABLE,0.3333,0.0,0.2,0.0
1002,Marta Soler,R-SMM,Social Media Strategist,0.1667,NOT_VIABLE,0.3333,0.0,0.0,0.0
1003,Pablo Reyes,R-CRM-ADMIN,CRM Admin (HubSpot),0.4666,NEAR,0.7969,0.2727,0.0,0.0
1003,Pablo Reyes,R-DATA-ANL,Data Analyst,0.3542,FAR,0.7083,0.0,0.0,0.0
1003,Pablo Reyes,R-MTX-ARCH,Martech Architect,0.6478,READY_WITH_SUPPORT,0.9022,0.6667,0.2,0.0
1003,Pablo Reyes,R-STR-LEAD,Head of Strategy,0.2005,FAR,0.3409,0.0,0.2,0.0
1003,Pablo Reyes,R-PM,Project Manager,0.1838,NOT_VIABLE,0.3676,0.0,0.0,0.0
1003,Pablo Reyes,R-CRT-LEAD,Creative Director,0.155,NOT_VIABLE,0.25,0.0,0.2,0.0
1003,Pablo Reyes,R-DSN-SR,Senior Brand/UI Designer,0.125,NOT_VIABLE,0.25,0.0,0.0,0.0
1003,Pablo Reyes,R-PERF-SPEC,Performance Media Specialist,0.1875,NOT_VIABLE,0.375,0.0,0.0,0.0
1003,Pablo Reyes,R-SEO-SEM,SEO/SEM Manager,0.2083,FAR,0.4167,0.0,0.0,0.0
1003,Pablo Reyes,R-SMM,Social Media Strategist,0.2083,FAR,0.4167,0.0,0.0,0.0
1004,Núria Aguilera,R-CRM-ADMIN,CRM Admin (HubSpot),0.5879,NEAR,0.8281,0.5455,0.25,0.0
1004,Núria Aguilera,R-DATA-ANL,Data Analyst,0.1806,NOT_VIABLE,0.3611,0.0,0.0,0.0
1004,Núria Aguilera,R-MTX-ARCH,Martech Architect,0.3588,FAR,0.587,0.1111,0.25,0.0
1004,Núria Aguilera,R-STR-LEAD,Head of Strategy,0.1705,NOT_VIABLE,0.3409,0.0,0.0,0.0
1004,Núria Aguilera,R-PM,Project Manager,0.1838,NOT_VIABLE,0.3676,0.0,0.0,0.0
